Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Tapu Durumu,Site İçerisinde,Banyo Sayısı,Balkon Durumu,Fiyat Durumu,Price,Eşya Durumu,Müstakil mi,Dublex mi,Çatı katı mı,İlçe,Mahalle
80,85,3.0,13,-1,5.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,18500.0,0,0,0,0, Kağıthane,Nurtepe Mahallesi
75,85,3.0,7,4,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,1,Genel Fiyat,21000.0,0,0,0,0, Çekmeköy,Soğukpınar Mahallesi
125,140,4.0,25,4,4.0,Kombi Doğalgaz,Boş,Hisseli Tapu,Hayır,1,1,Birim Fiyat,24000.0,0,0,0,0, Esenler,Turgut Reis Mahallesi
50,65,2.0,4,5,9.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,25000.0,0,0,0,0, Pendik,Velibaba Mahallesi
50,60,2.0,7,0,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,21000.0,0,0,0,0, Maltepe,Fındıklı Mahallesi
75,85,3.0,4,0,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,19000.0,0,0,0,0, Çekmeköy,Hamidiye Mahallesi
150,160,6.0,7,4,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,3,0,Genel Fiyat,72000.0,0,0,0,0, Eyüpsultan,Göktürk Merkez Mahallesi
50,60,2.0,4,4,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,27000.0,1,0,0,0, Tuzla,İstasyon Mahallesi
50,60,3.0,7,0,5.0,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,0,Genel Fiyat,18000.0,0,0,0,0, Kağıthane,Sultan Selim Mahallesi
75,105,3.0,3,17,22.0,Merkezi (Pay Ölçer),Boş,Kat İrtifakı,Evet,2,0,Genel Fiyat,33000.0,0,0,0,0, Kartal,Gümüşpınar Mahallesi
70,110,3.0,4,9,24.0,Merkezi (Pay Ölçer),Boş,Müstakil Tapulu,Evet,1,0,Genel Fiyat,48000.0,0,0,0,0, Kadıköy,Fikirtepe Mahallesi
90,100,3.0,17,1,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,23000.0,1,0,0,0, Gaziosmanpaşa,Merkez Mahallesi
150,160,4.0,17,2,4.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Evet,2,0,Genel Fiyat,35000.0,0,0,0,0, Büyükçekmece,Mimaroba Mahallesi
45,50,2.0,25,0,4.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,13900.0,0,0,0,0, Fatih,Hırka
85,90,3.0,25,5,5.0,Kombi Doğalgaz,Boş,Yabancıdan,Hayır,1,1,Genel Fiyat,17000.0,0,0,0,0, Bahçelievler,Fevzi Çakmak Mahallesi
125,135,3.0,7,8,30.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,2,0,Genel Fiyat,27000.0,0,0,0,0, Esenyurt,Zafer Mahallesi
75,90,2.0,7,5,30.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,20000.0,1,0,0,0, Esenyurt,Zafer Mahallesi
100,120,3.0,7,26,30.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,2,0,Genel Fiyat,24000.0,0,0,0,0, Esenyurt,Zafer Mahallesi
73,83,2.0,7,5,30.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,21000.0,1,0,0,0, Esenyurt,Zafer Mahallesi
55,65,2.0,7,8,30.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,17500.0,1,0,0,0, Esenyurt,Zafer Mahallesi
30,40,1.0,7,5,30.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,15000.0,1,0,0,0, Esenyurt,Zafer Mahallesi
150,160,4.0,25,3,3.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,1,Genel Fiyat,25000.0,0,0,0,0, Maltepe,Bağlarbaşı Mahallesi
135,150,5.0,0,4,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,0,0,Genel Fiyat,42000.0,0,0,0,0, Avcılar,Merkez Mahallesi
